(пробел) = 0.13602941176470587
О = 0.08088235294117647
И = 0.07536764705882353
Е = 0.0661764705882353
А = 0.0661764705882353
Н = 0.05698529411764706
Т = 0.04779411764705882
С = 0.04779411764705882
Р = 0.04044117647058824
В = 0.034926470588235295
М = 0.03125
Л = 0.027573529411764705
Д = 0.027573529411764705
Я = 0.027573529411764705
К = 0.025735294117647058
П = 0.02389705882352941
З = 0.02389705882352941
Ы = 0.02022058823529412
Ь = 0.016544117647058824
У = 0.016544117647058824
Ч = 0.016544117647058824
Ж = 0.014705882352941176
Г = 0.012867647058823529
Х = 0.011029411764705883
Ф = 0.011029411764705883
Й = 0.009191176470588236
Ю = 0.007352941176470588
Б = 0.007352941176470588
Ц = 0.0055147058823529415
Ш = 0.0055147058823529415
Щ = 0.003676470588235294
Э = 0.001838235294117647
